xmin=-15,xmax=15
ymin=-22.5,ymax=22.5
zmin=-12.5,zmax=12.5
-6.27, -22.22, -5.424
-6.16, -22.22, -5.45
-6.05, -22.22, -5.507
-5.94, -22.22, -5.551
-5.83, -22.22, -5.606
-5.719999, -22.22, -5.65
-5.61, -22.22, -5.702
-5.5, -22.22, -5.754
-5.389999, -22.22, -5.802
-5.28, -22.22, -5.854
-5.17, -22.22, -5.909
-5.059999, -22.22, -5.958
-4.95, -22.22, -6.011
-4.84, -22.22, -6.059
-4.73, -22.22, -6.107
-4.62, -22.22, -6.159
-4.51, -22.22, -6.2
-4.4, -22.22, -6.248
-4.29, -22.22, -6.295
-4.179999, -22.22, -6.368001
-4.07, -22.22, -6.394001
-3.96, -22.22, -6.458
-3.849999, -22.22, -6.504
-3.74, -22.22, -6.542
-3.63, -22.22, -6.618001
-3.52, -22.22, -6.673
-1.32, -22.22, -7.66
-1.21, -22.22, -7.7
-1.099999, -22.22, -7.776
-0.9899998, -22.22, -7.82
-0.8800001, -22.22, -7.860001
-0.7699995, -22.22, -7.917
-0.6599998, -22.22, -7.982
-0.5500002, -22.22, -8.033
-0.4399996, -22.22, -8.069
-0.3299999, -22.22, -8.128
-0.2199993, -22.22, -8.185
-0.1099997, -22.22, -8.234
0, -22.22, -8.283
0.1100006, -22.22, -8.33
0.2200003, -22.22, -8.378
0.3299999, -22.22, -8.429001
0.4400005, -22.22, -8.482
0.5500002, -22.22, -8.538
0.6599998, -22.22, -8.6
0.7700005, -22.22, -8.664001
0.8800001, -22.22, -8.711
0.9899998, -22.22, -8.76
1.1, -22.22, -8.818001
1.210001, -22.22, -8.875
1.32, -22.22, -8.934
1.43, -22.22, -8.990001
1.540001, -22.22, -9.039001
1.65, -22.22, -9.095
1.76, -22.22, -9.158
1.870001, -22.22, -9.203
1.98, -22.22, -9.247001
2.09, -22.22, -9.313001
2.200001, -22.22, -9.371
2.309999, -22.22, -9.43
2.42, -22.22, -9.489
2.530001, -22.22, -9.528001
2.639999, -22.22, -9.587001
2.75, -22.22, -9.654
2.860001, -22.22, -9.706
2.969999, -22.22, -9.756001
3.08, -22.22, -9.806001
3.190001, -22.22, -9.860001
3.300001, -22.22, -9.915001
3.41, -22.22, -9.962001
3.52, -22.22, -10.008
3.630001, -22.22, -10.059
3.74, -22.22, -10.131
3.85, -22.22, -10.191
3.960001, -22.22, -10.235
4.07, -22.22, -10.291
4.18, -22.22, -10.352
4.290001, -22.22, -10.396
4.4, -22.22, -10.452
4.51, -22.22, -10.506
4.620001, -22.22, -10.555
4.73, -22.22, -10.612
4.84, -22.22, -10.673
4.950001, -22.22, -10.72
5.059999, -22.22, -10.78
5.17, -22.22, -10.832
5.280001, -22.22, -10.903
5.389999, -22.22, -10.95
5.5, -22.22, -11.008
5.610001, -22.22, -11.071
5.719999, -22.22, -11.131
5.83, -22.22, -11.193
5.940001, -22.22, -11.25
6.049999, -22.22, -11.288
6.16, -22.22, -11.334
6.27, -22.22, -11.38
6.380001, -22.22, -11.446
6.49, -22.22, -11.484
6.6, -22.22, -11.543
6.710001, -22.22, -11.607
6.82, -22.22, -11.658
6.93, -22.22, -11.707
7.040001, -22.22, -11.775
7.15, -22.22, -11.846
7.26, -22.22, -11.884
7.370001, -22.22, -11.945
7.48, -22.22, -12.003
7.59, -22.22, -12.037
7.700001, -22.22, -12.09
